2025-04-05 09:59:29,813 - [Train Epoch 1] MTM=0.6127, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 10:02:01,726 - [Val Epoch 1] MTM=0.1204, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 10:28:13,814 - [Train Epoch 2] MTM=0.2177, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 10:30:45,145 - [Val Epoch 2] MTM=0.0936, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 10:56:55,420 - [Train Epoch 3] MTM=0.1810, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 10:59:26,467 - [Val Epoch 3] MTM=0.0866, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 11:25:41,465 - [Train Epoch 4] MTM=0.1597, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 11:28:13,542 - [Val Epoch 4] MTM=0.0766, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 11:54:24,825 - [Train Epoch 5] MTM=0.1474, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 11:56:58,389 - [Val Epoch 5] MTM=0.0742, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 12:23:11,803 - [Train Epoch 6] MTM=0.1393, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 12:25:43,044 - [Val Epoch 6] MTM=0.0719, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 12:52:03,120 - [Train Epoch 7] MTM=0.1337, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 12:54:35,660 - [Val Epoch 7] MTM=0.0667, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 13:20:59,051 - [Train Epoch 8] MTM=0.1295, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 13:23:30,382 - [Val Epoch 8] MTM=0.0665, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 13:49:49,337 - [Train Epoch 9] MTM=0.1261, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 13:52:20,581 - [Val Epoch 9] MTM=0.0680, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 14:18:38,206 - [Train Epoch 10] MTM=0.1233, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 14:21:09,540 - [Val Epoch 10] MTM=0.0629, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 14:47:30,380 - [Train Epoch 11] MTM=0.1204, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 14:50:02,102 - [Val Epoch 11] MTM=0.0641, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 15:16:15,921 - [Train Epoch 12] MTM=0.1188, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 15:18:47,373 - [Val Epoch 12] MTM=0.0668, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 15:45:00,740 - [Train Epoch 13] MTM=0.1178, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 15:47:32,737 - [Val Epoch 13] MTM=0.0621, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 16:13:47,322 - [Train Epoch 14] MTM=0.1163, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 16:16:19,294 - [Val Epoch 14] MTM=0.0607, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 16:42:54,927 - [Train Epoch 15] MTM=0.1144, T2T=0.0000, T2N=0.0000, N2N=0.0000
2025-04-05 16:45:28,179 - [Val Epoch 15] MTM=0.0631, T2T=0.0000, T2N=0.0000, N2N=0.0000
